round	epoch	loss	probs	lr
1	0	0.9390145907747931	0.8518191898733841	0.001
1	1	0.9173822805980326	0.8624722097512971	0.001
8	0	0.8312221367124448	0.8961443592229655	0.001
8	1	0.8317082953576597	0.9009296506488879	0.001
17	0	0.7293000820387213	0.9487713918167074	0.001
17	1	0.7355393768901034	0.947128992238193	0.001
19	0	0.7411401148287126	0.9435928899389474	0.001
19	1	0.7332282095684288	0.9470250885258067	0.001
31	0	0.7089172076684823	0.9533837320273404	0.0001
31	1	0.7013370045726164	0.9566500078828841	0.0001
